Comment,Designator,Footprint,LCSC,Quantity
1k,"R1,R10",R_0603_1608Metric,C21190,2
100,R13,R_0603_1608Metric,C22775,1
30k,R18,R_0603_1608Metric,C22984,1
2.2u,"C3,C4,C5",C_0603_1608Metric,C23630,3
10k,"R11,R14,R15,R16,R17,R19,R7,R8",R_0603_1608Metric,C25804,8
4.7u,"C6,C7,C8,C9",C_1206_3216Metric,C29823,4
20k,"R12,R9",R_0603_1608Metric,C4184,2
OP07,U11,DIP-8_W7.62mm,,1
OP07,U10,DIP-8_W7.62mm,,1
OP07,U9,DIP-8_W7.62mm,,1
OP07,U8,DIP-8_W7.62mm,,1
TLP241AF,U7,DIP4_TOS,,1
TLP241AF,U6,DIP4_TOS,,1
~,U5,NJM1431AU,,1
~,U4,NJM1431AU,,1
MCP4922,U3,DIP-14_W7.62mm,,1
MCP1501-20xCH,U2,SOT-23-6,,1
TPS65131_kit,U1,TPS65131_kit,,1
SW_SPDT,SW2,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
SW_SPDT,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
50,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
50,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
10,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
50,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
10,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_Coaxial,J2,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
Conn_Coaxial,J1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,1
ZeD,D4,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D3,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D2,D_DO-34_SOD68_P7.62mm_Horizontal,,1
D,D1,D_DO-34_SOD68_P7.62mm_Horizontal,,1
100u,C2,CP_Radial_D5.0mm_P2.00mm,,1
100u,C1,CP_Radial_D5.0mm_P2.00mm,,1
RaspberryPi_Pico,A1,RaspberryPi_Pico_Common_Unspecified,,1
